Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts
Arsenal ARS,31,22,5,4,75,24,51,71
Liverpool LIV,31,21,8,2,72,30,42,71
Manchester City MCI,31,21,7,3,71,31,40,70
Tottenham Hotspur TOT,31,18,6,7,65,45,20,60
Aston Villa AVL,32,18,6,8,66,49,17,60
Manchester United MUN,31,15,4,12,45,46,-1,49
West Ham United WHU,32,13,9,10,52,56,-4,48
Newcastle United NEW,31,14,5,12,65,52,13,47
Chelsea CHE,30,12,8,10,55,52,3,44
Brighton and Hove Albion BHA,31,11,10,10,51,49,2,43
Wolverhampton Wanderers WOL,31,12,6,13,44,49,-5,42
Bournemouth BOU,31,11,8,12,45,55,-10,41
Fulham FUL,32,11,6,15,47,51,-4,39
Crystal Palace CRY,31,7,9,15,36,54,-18,30
Everton EVE,31,9,8,14,32,42,-10,29
Brentford BRE,32,7,8,17,45,58,-13,29
Nottingham Forest NFO,32,7,8,17,40,56,-16,25
Luton Town LUT,32,6,7,19,45,65,-20,25
Burnley BUR,32,4,7,21,32,67,-35,19
Sheffield United SHU,31,3,7,21,30,82,-52,16
